483	773
2911	773
2911	248
2856	773
2856	2604
485	773
485	730
485	1207
485	1176
2776	2558
2776	773
1197	730
2558	2776
773	483
773	2911
773	2856
773	485
773	2776
773	1622
773	1516
1622	773
1622	730
1622	1176
248	2911
730	485
730	1197
730	1622
730	1516
2260	1516
2260	1176
321	1516
2604	2856
2604	1516
1516	773
1516	730
1516	2260
1516	321
1516	2604
1207	485
1176	485
1176	1622
1176	2260
334	3110
334	2604
2856	2604
1574	3110
3110	334
3110	1574
3110	1580
3110	1597
3110	2604
3110	175
3110	3414
3110	1333
1580	3110
1726	2604
1597	3110
2604	334
2604	2856
2604	3110
175	3110
3414	3110
1333	3110
1944	1037
3357	1037
3357	1363
1762	1037
1638	867
1638	1063
1037	1944
1037	3357
1037	1762
1037	867
1037	1063
867	1638
867	1037
867	1063
1363	3357
1063	1638
1063	1037
1063	867
2738	2130
2738	1811
2433	1811
2464	2738
2464	1902
2464	1811
2130	2738
2130	1811
1374	1815
1374	1811
1902	2464
1902	1811
1815	1811
3046	1811
1811	2738
1811	2433
1811	2464
1811	2130
1811	1374
1811	1902
1811	1815
1811	3046
1479	1196
1479	628
1153	1196
1196	1479
1196	1153
1196	668
1196	628
2836	628
668	1196
628	1479
628	1196
628	2836
3310	1880
1478	1880
761	1880
2536	2819
3095	1880
2819	1880
352	1880
1031	2536
1880	3310
1880	1478
1880	761
1880	3095
1880	2819
1880	352
1220	1494
3206	1459
3206	1278
3206	1149
3206	2289
3206	1969
3206	1494
3206	2224
3206	1738
3206	400
3206	1565
3206	148
3206	2521
3206	3029
1459	3206
1459	2289
1278	3206
1278	1149
1278	3029
289	2521
1149	3206
1149	1278
971	400
2289	3206
2289	1459
1969	3206
1494	1220
1494	3206
2224	3206
2224	1698
1738	3206
3287	3029
400	3206
400	971
1698	2224
1565	3206
148	3206
2521	3206
2521	289
3029	3206
3029	3287
739	1927
739	140
739	799
739	982
739	3111
1927	1172
140	1290
799	17
982	168
1290	3365
925	834
3150	834
2641	834
3345	834
3072	834
2912	834
3321	834
2968	834
1558	834
2124	834
834	925
834	3150
834	2641
834	3345
834	3072
834	2912
834	3321
834	2968
834	1558
834	2124
834	699
834	1623
834	3168
834	637
834	704
834	393
834	2157
699	834
1623	834
3168	834
637	834
704	834
393	834
2157	834
943	3337
775	930
775	1887
930	775
930	3088
930	2786
1857	108
3342	1201
3342	3088
1576	920
920	1576
920	108
1717	2786
108	1857
108	920
108	2786
108	2398
108	1238
108	1539
1201	3342
1201	3337
1201	2786
1201	1238
3088	930
3088	3342
3133	2786
3337	943
3337	1201
2786	930
2786	1717
2786	108
2786	1201
2786	3133
